Orch,Comp,Weight,Comp.Gen
Baton Rouge Symphony,"Weber, Carl Maria von",1,1
Berkeley Symphony,"Adams, John",1,1
Berkeley Symphony,"Beethoven, Ludwig van",1,1
Berkeley Symphony,"Esmail, Reena",1,4
Berkeley Symphony,"Gould, Morton",1,1
Berkeley Symphony,"López Bellido, Jimmy",1,3
Berkeley Symphony,"Prokofiev, Sergey",1,1
Berkeley Symphony,"Ravel, Maurice",1,1
Berkeley Symphony,"Sibelius, Jean",1,1
Berkeley Symphony,"Spiva Jr., Derrick",1,3
Berkeley Symphony,"Stravinsky, Igor",1,1
Boise Philharmonic,"Beethoven, Ludwig van",1,1
Boise Philharmonic,"Bernstein, Leonard",1,1
Boise Philharmonic,"Boulanger, Lili",2,2
Boise Philharmonic,"Brahms, Johannes",2,1
Boise Philharmonic,"Carter, Ryan",1,1
Boise Philharmonic,"Coleman, Valerie",1,4
Boise Philharmonic,"Coleridge-Taylor, Samuel",1,3
Boise Philharmonic,"Copland, Aaron",1,1
Boise Philharmonic,"Dvořák, Antonín",1,1
Boise Philharmonic,"Ellington, Duke",1,3
Boise Philharmonic,"Handel, George Frideric",1,1
Boise Philharmonic,"Hindemith, Paul",1,1
Boise Philharmonic,"Korngold, Erich",1,1
Boise Philharmonic,"Márquez, Arturo",1,3
Boise Philharmonic,"Montgomery, Jessie",1,4
Boise Philharmonic,"Mozart, Wolfgang Amadeus",1,1
Boise Philharmonic,"Neustadter, Garth",1,1
Boise Philharmonic,"Price, Florence",1,4
Boise Philharmonic,"Rimsky-Korsakov, Nikolay",1,1
Boise Philharmonic,"Shchedrin, Rodion",1,1
Boise Philharmonic,"Smith, John Stafford",1,1
Boise Philharmonic,"Still, William Grant",1,3
Boise Philharmonic,"Walker, George",1,3
Boise Philharmonic,"Waxman, Franz",1,1
Boston Symphony Orchestra,"Adès, Thomas",1,1
Boston Symphony Orchestra,"Adolphe, Julia",1,2
Boston Symphony Orchestra,"Bartók, Béla",1,1
Boston Symphony Orchestra,"Beethoven, Ludwig van",5,1
Boston Symphony Orchestra,"Berg, Alban",2,1
Boston Symphony Orchestra,"Berlioz, Hector",1,1
Boston Symphony Orchestra,"Borodin, Alexander",1,1
Boston Symphony Orchestra,"Brahms, Johannes",3,1
Boston Symphony Orchestra,"Britten, Benjamin",1,1
Boston Symphony Orchestra,"Bruckner, Anton",1,1
